,Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
415,1975,111,Brannigan,Drama,"Wayne, John","Geeson, Judy","Hickox, Douglas",64,No,"johnWayne.png,,"
416,1979,89,Buffet Froid,Comedy,"Depardieu, G�rard","Gence, Denise","Blier, Bertrand",75,No,"NicholasCage.png,,"
417,1986,122,Salvador,Drama,"Woods, James","Gibb, Cynthia","Stone, Oliver",77,No,"NicholasCage.png,,"
418,1959,102,"Horse Soldiers, The",Western,"Wayne, John","Gibson, Althea","Ford, John",76,No,"johnWayne.png,"
419,1954,108,Long John Silver,Action,"Newton, Robert","Gilchrist, Connie","Haskin, Byron",56,No,"NicholasCage.png,,"
420,1961,134,"Hustler, The",Drama,"Newman, Paul","Gleason, Jackie","Rossen, Robert",43,Yes,"paulNewman.png,"
421,1983,109,"Star Chamber, The",Drama,"Douglas, Michael","Gless, Sharon","Hyam, Peter",3,No,"NicholasCage.png,"
422,1988,100,Clara's Heart,Drama,"Ontkean, Michael","Goldberg, Whoopi","Mulligan, Robert",60,No,"NicholasCage.png,,"
423,1987,102,Burglar,Comedy,"Goldthwait, Bob","Goldberg, Whoopi","Wilson, Hugh",44,No,"NicholasCage.png,,"
424,1978,117,Bloodbrothers,Drama,"Sorvino, Paul","Goldoni, Lelia","Mulligan, Robert",11,No,"NicholasCage.png,,"
425,1988,134,Rain Man,Drama,"Hoffman, Dustin","Golino, Valeria","Levinson, Barry",8,Yes,"NicholasCage.png,,"
426,1966,95,Masculine Feminine,Drama,"Leaud, Jean-Pierre","Goya, Chantal","Godard, Jean-Luc",20,No,"NicholasCage.png,,"
427,1964,51,"Outer Limits, The",Science Fiction,"Perrin, Vic","Grahame, Gloria","Stanley, Paul",27,No,"NicholasCage.png,"
428,1979,180,"Last Ride of the Dalton Gang, The",Western,"Palance, Jack","Greenbush, Lindsay","Curtis, Dan",62,No,"NicholasCage.png,"
429,1932,66,Number Seventeen,Crime,"Lion, Leon M.","Grey, Anne","Hitchcock, Alfred",66,No,"alfredHitchcock.png,,"
430,1986,120,Manhunter,Drama,"Petersen, William L.","Griest, Kim","Mann, Michael",19,No,"NicholasCage.png,,"
431,1990,126,"Bonfire of the Vanities, The",Drama,"Hanks, Tom","Griffith, Melanie","De Palma, Brian",82,No,"NicholasCage.png,"
432,1988,115,Working Girl,Comedy,"Ford, Harrison","Griffith, Melanie","Nichols, Mike",25,No,"NicholasCage.png,,"
433,1992,133,Shining Through,Mystery,"Douglas, Michael","Griffith, Melanie","Seltzer, David",11,No,"NicholasCage.png,,"
434,1988,99,Tokyo Pop,Comedy,"Tadokoro, Yutaka","Hamilton, Carrie","Kuzui, Fran Rubel",2,No,"NicholasCage.png,,"
435,1991,136,Terminator 2,Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James",8,No,"T2.png,,"
436,1984,108,"Terminator, The",Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James",17,No,"T2.png,"
437,1986,105,King Kong Lives!,Action,"Kerwin, Brian","Hamilton, Linda","Guillermin, John",20,No,"NicholasCage.png,,"
438,1991,186,At Play in the Fields of the Lord,Drama,"Berenger, Tom","Hannah, Daryl","Babenco, Hector",81,No,"NicholasCage.png,,"
439,1992,99,Memoirs of an Invisible Man,Comedy,"Chase, Chevy","Hannah, Daryl","Carpenter, John",58,No,"NicholasCage.png,,"
440,1985,100,"Clan of the Cave Bear, The",Drama,"Remar, James","Hannah, Daryl","Chapman, Michael",73,No,"NicholasCage.png,"
441,1983,82,"Final Terror, The",Horror,"Zmed, Adrian","Hannah, Daryl","Davis, Andrew",24,No,"NicholasCage.png,"
442,1984,93,Reckless,Drama,"Quinn, Aidan","Hannah, Daryl","Foley, James",14,No,"NicholasCage.png,,"
443,1987,107,Roxanne,Comedy,"Martin, Steve","Hannah, Daryl","Schepisi, Fred",66,No,"NicholasCage.png,,"
444,1982,117,Blade Runner,Action,"Ford, Harrison","Hannah, Daryl","Scott, Ridley",1,No,"NicholasCage.png,,"
445,1987,126,Wall Street,Drama,"Douglas, Michael","Hannah, Daryl","Stone, Oliver",6,Yes,"NicholasCage.png,,"
446,1938,298,Flaming Frontiers,Western,"Brown, Johnny Mack","Hansen, Eleanor","Taylor, Ray",82,No,"NicholasCage.png,,"
447,1936,89,Libeled Lady,Comedy,"Powell, William","Harlow, Jean","Conway, Jack",86,No,"NicholasCage.png,,"
448,1976,99,Inserts,Drama,"Dreyfuss, Richard","Harper, Jessica","Byrum, John",85,No,"NicholasCage.png,,"
449,1988,88,"Blue Iguana, The",Drama,"McDermott, Dylan","Harper, Jessica","Lafia, John",65,No,"NicholasCage.png,"
450,1983,93,Tender Mercies,Drama,"Duvall, Robert","Harper, Tess","Beresford, Bruce",61,Yes,"NicholasCage.png,,"
451,1987,96,Nights in White Satin,Drama,"Gilman, Kenneth","Harris, Priscilla","Barnard, Michael",5,No,"NicholasCage.png,,"
452,1989,87,Videodrome,Horror,"Woods, James","Harry, Deborah","Cronenberg, David",36,No,"NicholasCage.png,,"
453,1991,96,Intimate Stranger,Mystery,"Russo, James","Harry, Deborah","Holzman, Allan",23,No,"NicholasCage.png,,"
454,1986,110,Highlander,Science Fiction,"Lambert, Christopher","Hart, Roxanne","Mulcahy, Russell",8,No,"NicholasCage.png,,"
455,1989,104,Tango & Cash,Action,"Stallone, Sylvester","Hatcher, Teri","Konchalovsky, Andrei",9,No,"NicholasCage.png,,"
456,1970,94,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy",41,No,"NicholasCage.png,,"
457,1984,100,Swing Shift,Drama,"Russell, Kurt","Hawn, Goldie","Demme, Jonathan",81,No,"NicholasCage.png,,"
458,1978,112,Foul Play,Comedy,"Chase, Chevy","Hawn, Goldie","Higgins, Colin",46,No,"NicholasCage.png,,"
459,1982,109,Best Friends,Comedy,"Reynolds, Burt","Hawn, Goldie","Jewison, Norman",74,No,"NicholasCage.png,,"
460,1972,109,Butterflies Are Free,Drama,"Albert, Edward","Hawn, Goldie","Katselas, Milton",82,Yes,"NicholasCage.png,,"
461,1987,112,Overboard,Comedy,"Russell, Kurt","Hawn, Goldie","Marshall, Garry",6,No,"NicholasCage.png,,"
462,1974,103,"Girl from Petrovka, The",Drama,"Holbrook, Hal","Hawn, Goldie","Miller, Robert Ellis",23,No,"NicholasCage.png,"
463,1992,102,Housesitter,Comedy,"Martin, Steve","Hawn, Goldie","Oz, Frank",14,No,"NicholasCage.png,,"
464,1986,106,Wildcats,Comedy,"Keach, James","Hawn, Goldie","Ritchie, Michael",22,No,"NicholasCage.png,,"
465,1984,100,Protocol,Comedy,"Sarandon, Chris","Hawn, Goldie","Ross, Herbert",53,No,"NicholasCage.png,,"
466,1980,102,Seems Like Old Times,Comedy,"Chase, Chevy","Hawn, Goldie","Sandrich, Jay",49,No,"NicholasCage.png,,"
467,1974,109,"Sugarland Express, The",Drama,"Johnson, Ben","Hawn, Goldie","Spielberg, Steven",28,No,"NicholasCage.png,"
468,1980,110,Private Benjamin,Comedy,"Assante, Armand","Hawn, Goldie","Zieff, Howard",61,No,"NicholasCage.png,,"
469,1931,95,Arrowsmith,Drama,"Colman, Ronald","Hayes, Helen","Ford, John",84,No,"johnFord.png,,"
470,1972,78,Say Goodbye Maggie Cole,Drama,"McGavin, Darren","Hayward, Susan","Taylor, Jud",84,No,"NicholasCage.png,,"
471,1964,132,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry",29,No,"johnWayne.png,,"
472,1952,98,Affair in Trinidad,Drama,"Ford, Glenn","Hayworth, Rita","Sherman, Vincent",49,No,"glennFord.png,,"
473,1948,87,Lady from Shanghai,Mystery,"Welles, Orson","Hayworth, Rita","Welles, Orson",16,No,"NicholasCage.png,,"
474,1940,81,Lady in Question,Drama,"Aherne, Brian","Hayworth, Rita","Vidor, Charles",57,No,"NicholasCage.png,,"
475,1946,110,Gilda,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",57,No,"glennFord.png,,"
476,1948,98,"Loves of Carmen, The",Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",48,No,"glennFord.png,"
477,1990,105,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren",84,No,"NicholasCage.png,,"
478,1964,130,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred",2,No,"seanConnery.png,,"
479,1987,85,Hot Child in the City,Mystery,"Prysirr, Geof","Hendrix, Leah Ayres","Florea, John",0,No,"NicholasCage.png,,"
480,1984,90,Johnny Dangerously,Comedy,"Piscopo, Joe","Henner, Marilu","Heckerling, Amy",3,No,"NicholasCage.png,,"
481,1985,95,Stark,Mystery,"Surovy, Nicolas","Henner, Marilu","Holcomb, Rod",27,No,"NicholasCage.png,,"
482,1949,84,Three Strange Loves,Drama,"Malmsten, Birger","Henning, Eva","Bergman, Ingmar",87,No,"Bergman.png,,"
483,1964,170,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George",10,Yes,"NicholasCage.png,,"
484,1960,123,"Unforgiven, The",Drama,"Lancaster, Burt","Hepburn, Audrey","Huston, John",32,No,"burtLancaster.png,"
485,1976,106,Robin & Marian,Action,"Connery, Sean","Hepburn, Audrey","Lester, Richard",6,No,"seanConnery.png,,"
486,1961,109,"Children's Hour, The",Drama,"Garner, James","Hepburn, Audrey","Wyler, William",60,No,"NicholasCage.png,"
487,1956,121,"Rainmaker, The",Drama,"Lancaster, Burt","Hepburn, Katharine","Anthony, Joseph",21,No,"katharineHepburn.png,"
488,1952,95,Pat & Mike,Comedy,"Tracy, Spencer","Hepburn, Katharine","Cukor, George",48,No,"spencerTracy.png,,"
489,1968,134,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony",78,Yes,"katharineHepburn.png,"
490,1991,132,"Sea of Grass, The",Western,"Tracy, Spencer","Hepburn, Katharine","Kazan, Elia",75,No,"spencerTracy.png,"
491,1967,108,Guess Who's Coming to Dinner,Drama,"Tracy, Spencer","Hepburn, Katharine","Kramer, Stanley",50,Yes,"spencerTracy.png,,"
492,1957,153,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter",51,No,"spencerTracy.png,,"
493,1975,107,Rooster Cogburn,Western,"Wayne, John","Hepburn, Katharine","Miller, Stuart",76,No,"johnWayne.png,,"
494,1981,109,On Golden Pond,Drama,"Fonda, Henry","Hepburn, Katharine","Rydell, Mark",23,Yes,"katharineHepburn.png,,"
495,1992,95,Juice,Drama,"Shakur, Tupac","Herron, Cindy","Dickerson, Ernest R.",31,No,"NicholasCage.png,,"
496,1986,114,Hoosiers,Drama,"Hackman, Gene","Hershey, Barbara","Anspaugh, David",2,No,"NicholasCage.png,,"
497,1987,112,Tin Men,Comedy,"Dreyfuss, Richard","Hershey, Barbara","Levinson, Barry",50,No,"NicholasCage.png,,"
498,1988,163,"Last Temptation of Christ, The",Drama,"Dafoe, Willem","Hershey, Barbara","Scorsese, Martin",32,No,"NicholasCage.png,"
499,1988,87,Souvenir,Drama,"Plummer, Christopher","Hicks, Catherine","Reeve, Geoffrey",42,No,"NicholasCage.png,,"
500,1966,120,A Man for All Seasons,Drama,"Shaw, Robert","Hiller, Wendy","Zinnemann, Fred",20,Yes,"NicholasCage.png,,"
501,1986,90,Knights & Emeralds,Drama,"Leadbitter, Bill","Hills, Beverly","Emes, Ian",43,No,"NicholasCage.png,,"
502,1989,83,Masque of the Red Death,Horror,"MacNee, Patrick","Hoak, Clare","Brand, Larry",9,No,"NicholasCage.png,,"
503,1943,265,"Adventures of Smilin' Jack, The",Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray",77,No,"NicholasCage.png,"
504,1992,88,Adventures in Dinosaur City,Action,"Katz, Omri","Hoffman, Shawn","Thompson, Brett",19,No,"NicholasCage.png,,"
505,1987,95,"Allnighter, The",Comedy,"Terlesky, John","Hoffs, Susanna","Hoffs, Tamar Simon",71,No,"NicholasCage.png,"
506,1980,99,Caddyshack,Comedy,"Chase, Chevy","Holcomb, Sarah","Ramis, Harold",70,No,"NicholasCage.png,,"
507,1973,102,Tom Sawyer,Music,"Whitaker, Johnny","Holm, Celeste","Taylor, Don",11,No,"NicholasCage.png,,"
508,1987,94,"Rita, Sue & Bob Too",Comedy,"Finneran, Siohban","Holmes, Michelle","Clarke, Alan",5,No,"NicholasCage.png,"
509,1947,56,Hawk of Powder River,Western,"Dean, Eddie","Holt, Jennifer","Taylor, Ray",61,No,"NicholasCage.png,,"
510,1928,148,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam",33,No,"NicholasCage.png,,"
511,1986,90,Running Mates,Drama,"Webb, Greg","Howard, Barbara","Neff, Thomas L.",63,No,"NicholasCage.png,,"
512,1987,105,Prettykill,Drama,"Birney, David","Hubley, Season","Kaczender, George",71,No,"NicholasCage.png,,"
513,1934,80,Judge Priest,Drama,"Rogers, Will","Hudson, Rochelle","Ford, John",9,No,"johnFord.png,,"
514,1950,104,Harvey,Comedy,"Stewart, James","Hull, Josephine","Koster, Henry",42,No,"NicholasCage.png,,"
515,1991,89,If Looks Could Kill,Action,"Grieco, Richard","Hunt, Linda","Wilmington, Michael",10,No,"NicholasCage.png,,"
516,1987,94,Raising Arizona,Comedy,"Cage, Nicolas","Hunter, Holly","Coen, Joel",23,No,"NicholasCage.png,,"
517,1989,114,Once Around,Comedy,"Dreyfuss, Richard","Hunter, Holly","Hallstr�m, Lasse",68,No,"NicholasCage.png,,"
518,1980,110,Loulou,Drama,"Depardieu, G�rard","Huppert, Isabelle","Pialat, Maurice",65,No,"NicholasCage.png,,"
519,1982,136,"World According to Garp, The",Drama,"Williams, Robin","Hurt, Mary Beth","Hill, George Roy",59,No,"NicholasCage.png,"
520,1980,106,Virus,Science Fiction,"Kennedy, George","Hussey, Olivia","Fukasaku, Kinji",62,No,"NicholasCage.png,,"
521,1940,127,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King",51,No,"spencerTracy.png,,"
522,1987,112,Gardens of Stone,Drama,"Caan, James","Huston, Anjelica","Coppola, Francis Ford",27,No,"NicholasCage.png,,"
523,1989,121,"Enemies, a Love Story",Drama,"Silver, Ron","Huston, Anjelica","Mazursky, Paul",5,No,"NicholasCage.png,"
524,1992,102,"Addams Family, The",Comedy,"Julia, Raul","Huston, Anjelica","Sonnenfeld, B.",8,No,"NicholasCage.png,"
525,1932,65,Freaks,Horror,"Ford, Wallace","Hyams, Leila","Browning, Tod",61,No,"NicholasCage.png,,"
526,1991,108,Necessary Roughness,Comedy,"Bakula, Scott","Ireland, Kathy","Dragoti, Stan",60,No,"NicholasCage.png,,"
527,1990,93,A Show of Force,Drama,"Garcia, Andy","Irving, Amy","Barreto, Bruno",1,No,"NicholasCage.png,,"
528,1980,129,"Competition, The",Drama,"Dreyfuss, Richard","Irving, Amy","Oliansky, Joel",45,No,"NicholasCage.png,"
529,1988,97,Crossing Delancey,Comedy,"Riegert, Peter","Irving, Amy","Silver, Joan Micklin",6,No,"NicholasCage.png,,"
530,1982,120,"State of Things, The",Drama,"Kime, Jeffrey",Isabelle Weingarten.,"Wenders, Wim",73,No,"NicholasCage.png,,"
531,1987,89,Business As Usual,Comedy,"Thaw, John","Jackson, Glenda","Barrett, Lezli-An",17,No,"NicholasCage.png,,"
532,1973,103,A Touch of Class,Comedy,"Segal, George","Jackson, Glenda","Frank, Melvin",79,Yes,"NicholasCage.png,,"
533,1970,129,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken",18,No,"NicholasCage.png,,"
534,1988,89,Salome's Last Dance,Comedy,"Johns, Stratford","Jackson, Glenda","Russell, Ken",76,No,"NicholasCage.png,,"
535,1986,100,Casino,Mystery,"Connors, Mike","Jackson, Sherry","Chaffey, Don",5,No,"NicholasCage.png,,"
536,1955,108,Smiles of a Summer Night,Comedy,"Bj�rnstrand, Gunnar","Jacobsson, Ulla","Bergman, Ingmar",58,No,"Bergman.png,,"
537,1989,90,New Year's Day,Comedy,"Jaglom, Henry","Jakobsen, Maggie","Jaglom, Henry",88,No,"NicholasCage.png,,"
538,1981,132,Mephisto,Drama,"Brandauer, Klaus Maria","Janda, Krystyna","Szab�, Istv�n",80,Yes,"NicholasCage.png,,"
539,1927,60,Easy Virtue,Mystery,"Dyall, Franklin","Jeans, Isabel","Hitchcock, Alfred",45,No,"alfredHitchcock.png,,"
540,1991,83,Strictly Business,Comedy,"Davidson, Tommy","Johnson, Anne-Marie","Hooks, Kevin",3,No,"NicholasCage.png,,"
541,1983,90,Blame It on Rio,Comedy,"Caine, Michael","Johnson, Michelle","Donen, Stanley",10,No,"NicholasCage.png,,"
542,1987,86,Straight to Hell,Action,"Hopper, Dennis","Jones, Grace","Cox, Alex",47,No,"NicholasCage.png,,"
543,1986,100,American Anthem,Drama,"Gaylord, Mitch","Jones, Janet","Magnoli, Albert",74,No,"NicholasCage.png,,"
544,1963,99,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph",7,No,"brando.png,,"
545,1988,102,"Night Train to Katmandu, THe",Action,"Roberts, Pernell","Jovovich, Milla","Wiemer, Robert",43,No,"NicholasCage.png,"
546,1948,100,Port of Call,Drama,"Eklund, Bengt","J�nsson, Nine-Christine","Bergman, Ingmar",29,No,"Bergman.png,,"
547,1973,103,Paper Moon,Comedy,"O'Neal, Ryan","Kahn, Madeline","Bogdanovich, Peter",3,Yes,"NicholasCage.png,,"
548,1983,97,Yellowbeard,Comedy,"Chapman, Graham","Kahn, Madeline","Damski, Mel",34,No,"NicholasCage.png,,"
549,1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene","Kahn, Madeline","Wilder, Gene",42,No,"NicholasCage.png,,"
550,1990,108,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco",19,No,"NicholasCage.png,,"
551,1977,89,"World's Greatest Lover, The",Comedy,"Wilder, Gene","Kane, Carol","Wilder, Gene",42,No,"NicholasCage.png,"
552,1955,67,Killer's Kiss,Mystery,"Silvera, Frank","Kane, Irene","Kubrick, Stanley",66,No,"NicholasCage.png,,"
553,1988,103,"Deceivers, The",Action,"Brosnan, Pierce","Kapoor, Shashi","Meyer, Nicholas",14,No,"NicholasCage.png,"
554,1983,97,Breathless,Action,"Gere, Richard","Kaprisky, Valerie","McBride, Jim",51,No,"NicholasCage.png,,"
555,1989,145,Born on the Fourth of July,Drama,"Cruise, Tom","Kava, Caroline","Stone, Oliver",8,Yes,"NicholasCage.png,,"
556,1991,120,Awakenings,Drama,"De Niro, Robert","Kavner, Julie","Marshall, Penny",8,No,"NicholasCage.png,,"
557,1977,94,Annie Hall,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",68,Yes,"woody.png,,"
558,1979,96,Manhattan,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",82,Yes,"woody.png,,"
559,1981,195,Reds,Drama,"Beatty, Warren","Keaton, Diane","Beatty, Warren",76,Yes,"NicholasCage.png,,"
560,1986,105,Crimes of the Heart,Comedy,"Shepard, Sam","Keaton, Diane","Beresford, Bruce",84,No,"NicholasCage.png,,"
561,1977,136,Looking for Mr. Goodbar,Drama,"Atherton, William","Keaton, Diane","Brooks, Richard",54,No,"NicholasCage.png,,"
562,1972,175,"Godfather, The",Drama,"Brando, Marlon","Keaton, Diane","Coppola, Francis Ford",8,Yes,"brando.png,"
563,1974,201,"Godfather, Pt 2., The",Drama,"Pacino, Al","Keaton, Diane","Coppola, Francis Ford",8,Yes,NicholasCage.png
564,1976,109,"I Will, I Will...For Now",Comedy,"Gould, Elliott","Keaton, Diane","Panama, Norman",6,No,"NicholasCage.png,"
565,1972,86,"Play It Again, Sam",Comedy,"Allen, Woody","Keaton, Diane","Ross, Herbert",81,No,"woody.png,"
566,1970,130,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico",88,No,"NicholasCage.png,,"
567,1980,117,"Formula, The",Mystery,"Scott, George C.","Keller, Marthe","Avildsen, John G.",82,No,"NicholasCage.png,"
568,1977,143,Black Sunday,Drama,"Shaw, Robert","Keller, Marthe","Frankenheimer, John",76,No,"NicholasCage.png,,"
569,1977,124,Bobby Deerfield,Drama,"Pacino, Al","Keller, Marthe","Pollack, Sydney",36,No,"NicholasCage.png,,"
570,1972,98,Last of the Red Hot Lovers,Comedy,"Arkin, Alan","Kellerman, Sally","Saks, Gene",40,No,"NicholasCage.png,,"
571,1953,116,Mogambo,Action,"Gable, Clark","Kelly, Grace","Ford, John",71,No,"johnFord.png,,"
572,1955,103,To Catch a Thief,Mystery,"Grant, Cary","Kelly, Grace","Hitchcock, Alfred",69,No,"alfredHitchcock.png,,"
573,1954,113,Rear Window,Mystery,"Stewart, James","Kelly, Grace","Hitchcock, Alfred",25,No,"alfredHitchcock.png,,"
574,1945,69,Woman Who Came Back,Drama,"Kruger, Otto","Kelly, Nancy","Colmes, Walter",26,No,"NicholasCage.png,,"
575,1939,101,Stanley & Livingstone,Action,"Tracy, Spencer","Kelly, Nancy","King, Henry",11,No,"spencerTracy.png,,"
576,1956,129,"Bad Seed, The",Horror,"Jones, Henry","Kelly, Nancy","LeRoy, Mervyn",69,No,"NicholasCage.png,"
577,1989,113,Lethal Weapon 2,Action,"Gibson, Mel","Kensit, Patsy","Donner, Richard",69,No,"NicholasCage.png,,"
578,1992,79,Blame It on the Bellboy,Comedy,"Moore, Dudley","Kensit, Patsy","Herman, Mark",69,No,"NicholasCage.png,,"
579,1927,62,"Drop Kick, The",Drama,"Barthelmess, Richard","Kent, Barbara","Webb, Millard",43,No,"NicholasCage.png,"
580,1978,145,"Superman, The Movie",Action,"Brando, Marlon","Kidder, Margot","Donner, Richard",87,No,"brando.png,"
581,1987,90,Superman IV: The Quest for Peace,Action,"Reeve, Christopher","Kidder, Margot","Furie, Sidney J.",77,No,"NicholasCage.png,,"
582,1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein",49,No,"NicholasCage.png,,"
583,1989,96,Dead Calm,Mystery,"Neill, Sam","Kidman, Nicole","Noyce, Phillip",1,No,"NicholasCage.png,,"
584,1990,107,Days of Thunder,Action,"Cruise, Tom","Kidman, Nicole","Scott, Tony",3,No,"NicholasCage.png,,"
585,1987,101,My Life As a Dog,Comedy,"Glanzelius, Anton","Kinnaman, Melinda","Hallstr�m, Lasse",21,No,"NicholasCage.png,,"
586,1984,150,"Paris, Texas",Drama,"Stanton, Harry Dean","Kinski, Nastassia","Wenders, Wim",27,No,"NicholasCage.png,"
587,1984,96,Unfaithfully Yours,Comedy,"Moore, Dudley","Kinski, Nastassia","Zieff, Howard",73,No,"NicholasCage.png,,"
588,1987,95,Bullseye!,Comedy,"Caine, Michael","Kirkland, Sally","Winner, Michael",8,No,"NicholasCage.png,,"
589,1989,104,Erik the Viking,Action,"Robbins, Tim","Kitt, Eartha","Jones, Terry",25,No,"NicholasCage.png,,"
590,1987,90,Dragonard,Drama,"Reed, Oliver","Kitt, Eartha","Kikoine, Gerard",71,No,"NicholasCage.png,,"
591,1986,90,Hard Choices,Drama,"McCleery, Gary","Klenck, Margaret","King, Rick",41,No,"NicholasCage.png,,"
592,1969,102,"Rain People, The",Drama,"Caan, James","Knight, Shirley","Coppola, Francis Ford",78,No,"NicholasCage.png,"
593,1984,106,A Year of the Quiet Sun,Drama,"Wilson, Scott","Komorowska, Maja","Zanussi, Krzystoff",78,No,"NicholasCage.png,,"
594,1935,54,"Desert Trail, The",Western,"Wayne, John","Kornman, Mary","Collins, Lewis D.",50,No,"johnWayne.png,"
595,1990,98,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John",14,No,"NicholasCage.png,,"
596,1986,98,Crocodile Dundee,Comedy,"Hogan, Paul","Kozlowski, Linda","Faiman, Peter",66,No,"NicholasCage.png,,"
597,1977,127,"American Friend, The",Mystery,"Hopper, Dennis","Kreuzer, Lisa","Wenders, Wim",35,No,"NicholasCage.png,"
598,1989,119,See You in the Morning,Drama,"Bridges, Jeff","Krige, Alice","Pakula, Alan J.",53,No,"NicholasCage.png,,"
599,1987,88,"Arrogant, The",Drama,"Graham, Gary","Kristel, Sylvia","Blot, Philippe",62,No,"NicholasCage.png,"
600,1989,86,Dracula's Widow,Horror,"Sommer, Josef","Kristel, Sylvia","Coppola, Christopher",55,No,"NicholasCage.png,,"
601,1987,90,Ninja Masters of Death,Action,"Peterson, Chris","Kruize, Kelly","Lambert, Bruce",15,No,"NicholasCage.png,,"
602,1990,110,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim",23,No,"NicholasCage.png,,"
603,1978,114,Go Tell the Spartans,War,"Lancaster, Burt","Kumagai, Denice","Post, Ted",67,No,"burtLancaster.png,,"
604,1986,89,True Stories,Comedy,"Goodman, John","Kurtz, Swoosie","Byrne, David",79,No,"NicholasCage.png,,"
605,1953,94,Ugetsu Monogatari,Drama,"Mori, Masayuki","Ky�, Machiki","Mizoguchi, Kenji",82,No,"NicholasCage.png,,"
606,1969,80,Rebel Rousers,Action,"Nicholson, Jack","Ladd, Diane","Cohen, Martin B.",44,No,"JackNicholson.png,,"
607,1988,98,Plain Clothes,Comedy,"Howard, Arliss","Ladd, Diane","Coolidge, Martha",4,No,"NicholasCage.png,,"
608,1981,119,"Whose Life Is It, Anyway?",Drama,"Dreyfuss, Richard","Lahti, Christine","Badham, John",62,No,"NicholasCage.png,"
609,1988,116,Running on Empty,Drama,"Hirsch, Judd","Lahti, Christine","Lumet, Sidney",2,No,"NicholasCage.png,,"
610,1990,101,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard",60,No,"NicholasCage.png,,"
611,1985,118,"A Chorus Line, The Movie",Music,"Douglas, Michael","Landers, Audrey","Attenborough, Richard",71,No,"NicholasCage.png,"
612,1986,84,Stewardess School,Comedy,"Most, Donald","Landers, Judy","Blancato, Ken",28,No,"NicholasCage.png,,"
613,1987,109,"Big Town, The",Drama,"Dillon, Matt","Lane, Diane","Bolt, Ben",11,No,"NicholasCage.png,"
614,1983,94,Rumble Fish,Drama,"Dillon, Matt","Lane, Diane","Coppola, Francis Ford",4,No,"NicholasCage.png,,"
615,1983,91,"Outsiders, The",Drama,"Howell, C. Thomas","Lane, Diane","Coppola, Francis Ford",56,No,"NicholasCage.png,"
616,1990,94,Priceless Beauty,Science Fiction,"Lambert, Christopher","Lane, Diane","Finch, Charles",7,No,"NicholasCage.png,,"
617,1989,93,Streets of Fire,Action,"Par�, Michael","Lane, Diane","Hill, Walter",65,No,"NicholasCage.png,,"
618,1990,115,Men Don't Leave,Drama,"Howard, Arliss","Lange, Jessica","Brickman, Paul",66,No,"NicholasCage.png,,"
619,1988,127,Everybody's All American,Romance,"Quaid, Dennis","Lange, Jessica","Hackford, Taylor",62,No,"NicholasCage.png,,"
620,1992,128,Cape Fear,Mystery,"De Niro, Robert","Lange, Jessica","Scorsese, Martin",7,No,"NicholasCage.png,,"
621,1949,58,Crashing Thru,Western,"Wilson, Whip","Larson, Christine","Taylor, Ray",19,No,"NicholasCage.png,,"
622,1978,109,Get Out Your Handkerchiefs,Comedy,"Depardieu, G�rard","Laure, Carole","Blier, Bertrand",78,Yes,"NicholasCage.png,,"
623,1971,137,"Boy Friend, THe",Music,"Gable, Christopher","Lawson, Twiggy","Russell, Ken",8,No,"NicholasCage.png,"
624,1990,100,Hard To Kill,Action,"Seagal, Steven","LeBrock, Kelly","Malmuth, Bruce",49,No,"NicholasCage.png,,"
